,Sang - Kunstner,link,starttidspunkt (i sek),Shoutout
0,Disney Sjov  Intro,https://www.youtube.com/watch?v=Bfp4zusaQ5g,0.0,"Nøjjj, det for børn"
1,Phineas og Ferb intro sang,https://www.youtube.com/watch?v=Jr16acS174Y,0.0,
2,Vi er tilbage - B-Boys,https://www.youtube.com/watch?v=o-x1JyU-iL4&feature=youtu.be,25.0,
3,Du er den som jeg vil ha - Emma,https://www.youtube.com/watch?v=jEdSPrz8A5Y,50.0,
4,Morten Skikdpadde,https://www.youtube.com/watch?v=GcFF5k5F9zQ&feature=youtu.be,0.0,
5,Nisse Kalypso - Nissebanden ,https://www.youtube.com/watch?v=gOa7fagiQj4,20.0,
6,Gitchee Gitchee Goo - Phineas and Ferb,https://www.youtube.com/watch?v=QL0me7ENQRE,0.0,
7,Jeg er på vej - Bjørne brødre ,https://www.youtube.com/watch?v=wTCO5tZ7zZ8,10.0,
8,Circle of life (Trap remix) - Unknown,https://www.youtube.com/watch?v=hwwg8st_5W4,0.0,
9,"Call Me, Beep Me! (The Kim Possible Song)",https://www.youtube.com/watch?v=GYIzCcCJNlQ,0.0,
10,Lokes rapsodi - Loke,https://www.youtube.com/watch?v=MU_FmphZ4xA,55.0,
11,Min egen Maria - Chanlex,https://www.youtube.com/watch?v=NObY2YeJ7Oc&feature=youtu.be,43.0,
12,Hulubulu Lotte hvor er du henne (pitched down) - unknown,https://www.youtube.com/watch?v=Ue4PHfMWKzA,40.0,
13,,,,
14,Bom tjikka bom - Kaj & Andrea ,https://www.youtube.com/watch?v=ftzn_aOVrLM,0.0,
15,Arabiens drøm - Anne Gadegaard ,https://www.youtube.com/watch?v=S2O1tscwNlw,15.0,
16,Jeg tror det kaldes kærlighed - Shout,https://www.youtube.com/watch?v=rklhva6Fhgk&feature=youtu.be,7.0,
17,Rutsj! ,https://www.youtube.com/watch?v=J6p0S--1958,0.0,
18,Dansk Intro til Bubbibjørnene,https://www.youtube.com/watch?v=VEVDcuqW01Y,0.0,
19,,,,
20,"Far, mor og blypperne - Peter frodin og Hella joof",https://www.youtube.com/watch?v=OWnY_oN9EbE,3.0,
21,Havet er skønt - Sebastian ,https://www.youtube.com/watch?v=vMfObaxYBV8,0.0,
22,Vi er ikke rigtig voksne - Bøllebob,https://www.youtube.com/watch?v=4kt_PNlX6vw,10.0,
23,Pilfingerdansen (remix) - Sigurd,https://www.youtube.com/watch?v=y6J6PYjTzxo,0.0,
24,Dakmand Per,https://www.youtube.com/watch?v=QhqS4YJzx-o,0.0,
25,Pokemon,https://www.youtube.com/watch?v=y9ongoen_oQ,0.0,
26,Jodlesangen MDS Remix - Bamse og Kylling ,https://www.youtube.com/watch?v=3QIR60h3s84,0.0,
27,Venindetanker - Nanna,https://www.youtube.com/watch?v=tRAcn0TmOeA&feature=youtu.be,0.0,
28,Teen Titans dansk Intro,https://www.youtube.com/watch?v=0P0TWueNjrQ,0.0,
29,Bamses Billedbog Introsang - Bamse,https://www.youtube.com/watch?v=IihH6cFXzI0,0.0,
30,Mickeys Hus (House of Mouse) Intro Dansk/danish,https://www.youtube.com/watch?v=mKG0mTaSfmo,0.0,
31,Max pinlig intro,https://www.youtube.com/watch?v=aCpanIj3uv0&list=PLVZFxulTtgNO64S-jrop7Sqw2Lq2Qan59&index=101,0.0,
32,Vi er på vej til dig - Bamse og Kylling,https://www.youtube.com/watch?v=7-vfYIkQ72I,0.0,
33,Nana - Sebastian,https://www.youtube.com/watch?v=yTJ4Uh8g8Nk,0.0,
34,Vi gir den op - B-boys,https://www.youtube.com/watch?v=ERJQZZ2Osrw,76.0,
35,Wizards of Waverly place - Selena Gomez,https://www.youtube.com/watch?v=R0YeziOBa1k,0.0,
36,Tramper Torben - Hjulene på bussen,https://soundcloud.com/tramperentorben/hjulene-pa-bussen-korer-rundt-remix-velkommen-til-torbens-legestue,6.0,
37,Lilo & Stitch Intro/Theme [HQ],https://www.youtube.com/watch?v=WREobnmYO4M,0.0,
38,Fremmed som mig - Stig Rossen,https://www.youtube.com/watch?v=0Z3BgCuo8Fg&feature=youtu.be,0.0,
39,Bim Bam Busse - Ingolf & Haletudserne ,https://www.youtube.com/watch?v=sDUQHMXTTRA,0.0,
40,Bim Bam Busse - Pattesutter,https://soundcloud.com/skraldespand/pattesutter-bim-bam-busse,0.0,
41,Menneskesøn - Stig Rossen,https://www.youtube.com/watch?v=rtB-LQY5EVY&feature=youtu.be,0.0,
42,Brum introsang - Unknown,https://www.youtube.com/watch?v=4_T3E2IxBDM,1.0,
43,Bananas in Pyjamas - Rasmus Brink,https://soundcloud.com/rasmus-brinch/bananer-i-pyjamas-dak-mix,0.0,
44,Dansk Peter Plys Intro,https://www.youtube.com/watch?v=qGC7KyIv1P4,0.0,
45,Rasmus Klump intro,https://www.youtube.com/watch?v=d77NrgRlSK0&feature=youtu.be,6.0,
46,Inspector Gadget theme song,https://www.youtube.com/watch?v=e-JHfXVlkik,3.0,
47,hvad med dig selv? - Terkel,https://www.youtube.com/watch?v=ZVXWYqIYdEc,13.0,
48,En ny verden - Aladdin og Jasmine ,https://www.youtube.com/watch?v=QNLIlauJ6_4,20.0,
49,Helt man vil huske - Musserne fra Herkules ,https://www.youtube.com/watch?v=fz6e7K3i5zA,3.0,
50,Fragglerne Intro,https://www.youtube.com/watch?v=LD83B_gsuWM,0.0,
51,Hjulene på bussen - TramperTorben,https://www.youtube.com/watch?v=_4tMVK30gig&list=RD_4tMVK30gig&start_radio=1&t=63,0.0,
52,Martin og Ketil - Martin og Ketil,https://www.youtube.com/watch?v=gV8HejTfPAY,0.0,
53,,,,
54,De fantastiske fehoveder Intro Dansk - Disney Channel ,https://www.youtube.com/watch?v=CeoxrSBXMiE,0.0,
55,Op til dig - Alberte,https://www.youtube.com/watch?v=49qOFAUIOik&feature=youtu.be,0.0,
56,Trashin the Camp - Phil Collins,https://www.youtube.com/watch?v=I6TQZMA5XV4&feature=youtu.be,50.0,
57,Nissernes Ø - Nissebanden,https://www.youtube.com/watch?v=0spBd5jgEDU,46.0,
58,Rip Rap og Rup på eventyr intro version 2 (Ducktales Danish intro),https://www.youtube.com/watch?v=IL7uAGY-PfM,0.0,
59,Prutte-bøvs sangen ,https://www.youtube.com/watch?v=BXSrk8OjcyI,38.0,
60,Pippi Langstrømpe,https://www.youtube.com/watch?v=RB-5-091k-w&feature=youtu.be,3.0,
61,Tro på os to - SEB ,https://www.youtube.com/watch?v=bDhkQtYe5Lw,5.0,
62,Emil fra Lønneberg- Unknown,https://www.youtube.com/watch?v=HkWo08b1lLo,11.0,
63,Dansk intro til Luftens Helte - Unknown,https://www.youtube.com/watch?v=ZfJQ4BQ37Ls,0.0,
64,Glad i bad - Alletiders Nisse,https://www.youtube.com/watch?v=yvEC0wDtAU4,0.0,
65,Nanna - Buster,https://www.youtube.com/watch?v=CTyB89fOqhE,15.0,
66,Vi er nummer et! - Robby rådden ,https://www.youtube.com/watch?v=FJPotonU_hI,0.0,
67,Pigen er min - Cool Kids,https://www.youtube.com/watch?v=0ZQ5UzVhg7w,6.0,
68,Emperor's New School Danish Intro - Kuzco,https://www.youtube.com/watch?v=mp-gNsO2Z_8,0.0,
69,Hey hey hyv - Der var engang en dreng,https://www.youtube.com/watch?v=x-1hBndlBME,30.0,
70,Kickflipper - Razz,https://www.youtube.com/watch?v=VqY5whqbf20,50.0,
71,Disneys Robin Hood (1973) Intro,https://www.youtube.com/watch?v=PKYEKhxWy6o,0.0,
72,Man er som man er - Krummerne,https://www.youtube.com/watch?v=cfYGBRb5Ka0,5.0,
73,Braceface Intro Danish/Dansk,https://www.youtube.com/watch?v=ZsUgQlM5Hn8,0.0,
74,Hola Chica - Sandra Monique,https://www.youtube.com/watch?v=A7E0etwxy5g,75.0,
75,Det rent og skær nødvendige - Baloo,https://www.youtube.com/watch?v=HkSSxMruiyI,3.0,
76,Drømte mig en drøm i nat - Absalons hemmelighed,https://www.youtube.com/watch?v=H2GtWYDAkzc,10.0,
77,Hjælp jeg er en fisk! - Creamy ,https://www.youtube.com/watch?v=LLQt1QbUtrE,32.0,
78,Gnotterne intro,https://www.youtube.com/watch?v=_xekWhMM9Vk,0.0,
79,Wulle Wulle Wap! - Jungledyret Hugo,https://www.youtube.com/watch?v=0IYOKfQ0vjM,6.0,
80,Dragonball intro sangen - Goku ,https://www.youtube.com/watch?v=S9kN0pct-Q8,0.0,
81,Mumitroldene introsang - Unkown,https://www.youtube.com/watch?v=u-46GTL5IQY,0.0,
82,Teenage Mutant Ninja Turtles,https://www.youtube.com/watch?v=nNa2Fr6CA0E&list=PLMp6IMUAXDQVi1PcBcuznEyUrWC2HS239&index=31,0.0,
83,Brandy og Hr. Vimse intro Danish/Dansk - Unknown ,https://www.youtube.com/watch?v=ADYu9jkImAE,0.0,
84,Hvad så Scooby doo? - Scooby Doo,https://www.youtube.com/watch?v=lsLC8Ghzy7M,0.0,
85,Sigurds bjørnetime intro - Sigurd,https://www.youtube.com/watch?v=3WDUu-1iBRQ&list=PLVZFxulTtgNO64S-jrop7Sqw2Lq2Qan59&index=120,,
86,Mit allerfarligste sted - Bamse,https://www.youtube.com/watch?v=tmNqf4wYW4k,0.0,
87,,,,
88,Hannah Montana - The Best Of Both Worlds,https://www.youtube.com/watch?v=uVjRe8QXFHY,18.0,
89,Duedrengen - Det DUe Dreng!,https://www.youtube.com/watch?v=JOG3y0DhRSQ,0.0,
90,Jesus og Josefine - Martin brygmann & Julie Berthelsen ,https://www.youtube.com/watch?v=Qm83-qTfxV8,10.0,
91,American Dragon Jake Long Season 1 Danish intro,https://www.youtube.com/watch?v=wrV1V_77NtY,0.0,
92,,,,
93,,,,
94,Ven som mig - Genee,https://www.youtube.com/watch?v=fK4dh3rJrFQ,19.0,
95,,,,
96,Jeg har set en rigtig dakkemand - T,https://www.youtube.com/watch?v=Y4CW0IAnBiU,0.0,
97,I just can't wait to be king - Lion King,https://www.youtube.com/watch?v=0bGjlvukgHU&feature=youtu.be,70.0,
98,Substituterne - Substituterne ,https://www.youtube.com/watch?v=bOP677cReKU,0.0,
99,Farvelsangen - Bjørnen i det blå hus,https://www.youtube.com/watch?v=HBMCQp88OF8,18.0,Teletubbies siger farvel
100,,,,
101,Sangpuljen: ,,,
102,Nøddepatruljen - Unknown,https://www.youtube.com/watch?v=VU6CA0Ji8F0,0.0,
103,En verden af liv - Løvernes konge,https://www.youtube.com/watch?v=tiMhhGm_sns,80.0,
104,Rap sjak,https://www.youtube.com/watch?v=SguB8-xquQo,0.0,
105,Dexter's Laboratory (Trap Remix) - Trap_music_now,https://www.youtube.com/watch?v=ZL4x7a2YeBo,15.0,
106,Winx club - Noget lort,https://www.youtube.com/watch?v=W8He0-GOlOo,0.0,
107,Wollah Wollah ingen bollah - Ali,https://www.youtube.com/watch?v=Xt-a7zwGZvs,0.0,
108,FAQ - Anden ,https://www.youtube.com/watch?v=g4hAtH_BCNU,6.0,
109,Yu-Gi-OH Dansk Intro - Yugi,https://www.youtube.com/watch?v=QV1Jz7VCiuQ,0.0,
110,Ozzy and Drix Danish intro,https://www.youtube.com/watch?v=tpB6qhwYNYc,0.0,
111,Hvem vil ikke gerne være kat? - Aristrocats,https://www.youtube.com/watch?v=FrSoOfMNwrI,198.0,
112,Smuk med havet som baggrund - Peter belli (Flyvende farmor),https://www.youtube.com/watch?v=IDFm68Rc4_k,17.0,
113,Hvis man har en ven - Mads og mikkel ,https://www.youtube.com/watch?v=wyEMhWZZfmo,5.0,
114,Pinky og Brain introen ,https://www.youtube.com/watch?v=zknZhc49Mnw,0.0,
115,"Powerpuff pigerne - Blomst, Bobbel & Bellis",https://www.youtube.com/watch?v=Rmti0m2-Bs4,0.0,
116,Historietimen intro,https://www.youtube.com/watch?v=cF0MPiI_YPY&list=PLVZFxulTtgNO64S-jrop7Sqw2Lq2Qan59&index=155,0.0,
117,F for får intro,https://www.youtube.com/watch?v=XFMqDeAhvzg,0.0,
118,Dyrepasser sang - Sebastian,https://www.youtube.com/watch?v=bnw3Dywvs2s&list=PLVZFxulTtgNO64S-jrop7Sqw2Lq2Qan59&index=194,6.0,
